Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Quantum Natural Language Processing: Revolutionizing Language Processing,Advances in Quantum Inspired Artificial Intelligence,,,,10.1007/978-3-031-89905-8_4,Anjusha PimpalshendeMadhu Bala MyneniSarat Chandra Nayak,2025,https://link.springer.com/chapter/10.1007/978-3-031-89905-8_4,Chapter
Quantum Natural Language Processing,KI - Künstliche Intelligenz,,,,10.1007/s13218-024-00861-w,Dominic WiddowsWillie AboumradDohun KimSayonee RayJonathan Mei,2024,https://link.springer.com/article/10.1007/s13218-024-00861-w,Article
Near-term advances in quantum natural language processing,Annals of Mathematics and Artificial Intelligence,,,,10.1007/s10472-024-09940-y,Dominic WiddowsAaranya AlexanderDaiwei ZhuChase ZimmermanArunava Majumder,2024,https://link.springer.com/article/10.1007/s10472-024-09940-y,Article
Quantum-Inspired Aspect-Based Sentiment Analysis Using Natural Language Processing,Advances in Quantum Inspired Artificial Intelligence,,,,10.1007/978-3-031-89905-8_8,Mrinmoy KayalMohinikanta SahooJayadeep PatiRanjan Kumar Behera,2025,https://link.springer.com/chapter/10.1007/978-3-031-89905-8_8,Chapter
Quantum self-attention neural networks for text classification,Science China Information Sciences,,,,10.1007/s11432-023-3879-7,Guangxi LiXuanqiang ZhaoXin Wang,2024,https://link.springer.com/article/10.1007/s11432-023-3879-7,Article
Quantum Natural Language Processing: A New and&#xa0;Promising Way to&#xa0;Solve NLP Problems,Artificial Intelligence: Theories and Applications,,,,10.1007/978-3-031-28540-0_17,Yousra BouakbaHacene Belhadef,2023,https://link.springer.com/chapter/10.1007/978-3-031-28540-0_17,Conference paper
Applying Variational Quantum Classifier on&#xa0;Acceptability Judgements: A&#xa0;QNLP Experiment,Numerical Computations: Theory and Algorithms,,,,10.1007/978-3-031-81247-7_8,Raffaele GuarasciGiuseppe BuonaiutoGiuseppe De PietroMassimo Esposito,2025,https://link.springer.com/chapter/10.1007/978-3-031-81247-7_8,Conference paper
Sentence Classification Using Quantum Natural Language Processing and&#xa0;Comparison of&#xa0;Optimization Methods,Advanced Computing,,,,10.1007/978-3-031-35644-5_7,K. M. M. RajashekharaiahSatyadhyan ChickerurGoutam HegdeSubrahmanya L. BhatShubham Annappa Sali,2023,https://link.springer.com/chapter/10.1007/978-3-031-35644-5_7,Conference paper
Strongly Entangling Neural Network: Quantum-Classical Hybrid Model for&#xa0;Quantum Natural Language Processing,Mathematical Modeling in Physical Sciences,,,,10.1007/978-3-031-52965-8_40,J. Ismael Díaz-OrtizAxel VillanuevaFrancisco Delgado,2024,https://link.springer.com/chapter/10.1007/978-3-031-52965-8_40,Conference paper
A quantum-like zero-shot approach for sentiment analysis in finance,Journal of Intelligent Information Systems,,,,10.1007/s10844-024-00912-6,Xi YangJia ZhuPasquale De Meo,2024,https://link.springer.com/article/10.1007/s10844-024-00912-6,Article
A knowledge-graph based text summarization scheme for mobile edge computing,Journal of Cloud Computing,,,,10.1186/s13677-023-00585-6,Zheng YuSongyu WuJielin JiangDongqing Liu,2024,https://link.springer.com/article/10.1186/s13677-023-00585-6,Article
Quantum transfer learning for acceptability judgements,Quantum Machine Intelligence,,,,10.1007/s42484-024-00141-8,Giuseppe BuonaiutoRaffaele GuarasciAniello MinutoloGiuseppe De PietroMassimo Esposito,2024,https://link.springer.com/article/10.1007/s42484-024-00141-8,Article
An Automatic POS Tagger System for&#xa0;Code Mixed Indian Social Media Text,Computational Intelligence in Communications and Business Analytics,,,,10.1007/978-3-031-48879-5_21,Nihar Jyoti BasisthTushar SachanNeha KumariShyambabu PandeyPartha Pakray,2024,https://link.springer.com/chapter/10.1007/978-3-031-48879-5_21,Conference paper
Automated Vulnerability Detection in&#xa0;Source Code Using Quantum Natural Language Processing,Ubiquitous Security,,,,10.1007/978-981-99-0272-9_6,Mst Shapna AkterHossain ShahriarZakirul Alam Bhuiya,2023,https://link.springer.com/chapter/10.1007/978-981-99-0272-9_6,Conference paper
Multilingual multi-task quantum transfer learning,Quantum Machine Intelligence,,,,10.1007/s42484-025-00260-w,Giuseppe BuonaiutoRaffaele GuarasciGiuseppe De PietroMassimo Esposito,2025,https://link.springer.com/article/10.1007/s42484-025-00260-w,Article
